Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.01221018465203E-05,0.0420392814407755,0.0796375119984053,0,0,0,6.21501792819702,0.0270340655331265,-2.57805354020046E-05,5.64681783540072E-06,0.0246211805699077,0.000231715875730709,0.0251985329497968,0,0,0,0,0,0,package://FullSimV7/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullSimV7/meshes/base_link.STL,,User Library-IRB120_3-58_IRC5_rev0_IRB120_Base_rev0-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
table,-0.000587334659227223,-0.036835217277921,0.00384621822964123,0,0,0,38.2098634955696,1.76951510127153,7.87860313616648E-13,-6.00695729462105E-09,4.89848881605849,-1.52454354921741E-06,3.14477810036567,0,0,0,0,0,0,package://FullSimV7/meshes/table.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullSimV7/meshes/table.STL,,table-1;Profile 40x40-1;Tool_Holder-4/stand-1;Tool_Holder-4/Lower_bearing_1-1,Origin_robot_to_table3,Axis_robot_to_table,robot_to_table,fixed,0,-0.3,-0.06,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
link1,9.76732621401681E-05,-0.0934118532229969,-0.000119298053319146,0,0,0,3.06699528368256,0.0122691119268035,-6.06301855244587E-08,-6.55505866407348E-08,0.010420464941063,1.02323146817326E-05,0.0124355568876054,0,0,0,0,0,0,package://FullSimV7/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullSimV7/meshes/link1.STL,,User Library-IRB120_3-58_IRC5_rev0_IRB120_Link1_rev0-1,Origin_joint12,Axis_joint12,joint1,continuous,0,0,0.145,-1.5707963267949,0,-1.5707963267949,base_link,0,1,0,30,4.3633,-2.8798,2.8798,,,,,,,,
link2,0.000778290754818719,-0.111243319477227,-0.00211702728559995,0,0,0,3.90867225505932,0.0381250476767169,2.39514964920965E-07,6.58338782216223E-07,0.00472640445966927,2.44754291823662E-05,0.0405764423241449,0,0,0,0,0,0,package://FullSimV7/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullSimV7/meshes/link2.STL,,User Library-IRB120_3-58_IRC5_rev0_IRB120_Link2_rev0-1,Origin_joint22,Axis_joint22,joint2,continuous,0,-0.135,0,0,0,0,link1,0,0,1,30,4.3633,-1.9199,1.9199,,,,,,,,
link3,0.022807862091609,-0.0679103941631886,0.00106436584971425,0,0,0,2.94371284994558,0.00563959160367682,0.00319915568103023,0.000121370698569511,0.0109004054439392,-0.000112947532054193,0.0122023306054157,0,0,0,0,0,0,package://FullSimV7/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullSimV7/meshes/link3.STL,,User Library-IRB120_3-58_IRC5_rev0_IRB120_Link3_rev0-1,Origin_joint32,Axis_joint32,joint3,continuous,0,-0.27,0,0,0,0,link2,0,0,1,30,4.3633,-1.2217,1.9199,,,,,,,,
link4,0.0761733794571278,-0.0104055180752324,0.000153408208564695,0,0,0,1.32786358676143,0.00104441110074889,-5.6933503274904E-06,-4.64060997837912E-05,0.00335577028738533,-8.37899053841392E-07,0.00388434077701931,0,0,0,0,0,0,package://FullSimV7/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullSimV7/meshes/link4.STL,,User Library-IRB120_3-58_IRC5_rev0_IRB120_Link4_rev0-1,Origin_joint4,Axis_joint4,joint4,continuous,0.148530487442461,-0.0700000000000001,0,0,0,0,link3,1,0,0,30,5.5851,-2.7953,2.7953,,,,,,,,
link5,-0.00109483653040998,-0.00993778308121185,-3.68522372524093E-05,0,0,0,0.546626828584249,0.000404579534029812,-4.2562823211924E-07,1.84466415886299E-06,0.000290010440170718,-8.5801776169596E-09,0.000367479482204773,0,0,0,0,0,0,package://FullSimV7/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullSimV7/meshes/link5.STL,,User Library-IRB120_3-58_IRC5_rev0_IRB120_Link5_rev0-1,Origin_joint52,Axis_joint52,joint5,continuous,0.153469512557526,-0.0199999999999999,0,-3.14159265358979,0,0,link4,0,0,1,30,5.5851,-2.0944,2.0944,,,,,,,,
link6,0.00121542455406494,0.0513577285751537,0.0155013484239185,0,0,0,0.531526383714213,0.00029979262466505,4.10956668633225E-06,1.78389382276731E-06,0.000432419044233939,-1.40279393876341E-05,0.000340964239376309,0,0,0,0,0,0,package://FullSimV7/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullSimV7/meshes/link6.STL,,FIXED_EF-2;User Library-IRB120_3-58_IRC5_rev0_IRB120_Link6_rev0-1,Origin_joint62,Axis_joint62,joint6,continuous,0.0700000000000162,-0.00999999999999979,0,1.5707963267949,-1.57079630572147,3.14159265358979,link5,0,1,0,30,7.3304,-6.9813,6.9813,,,,,,,,
dummy_with_out_tool,-6.08150040676256E-14,-0.00999999999989892,0,0,0,0,4.38757242489562E-06,1.89756037081267E-12,5.06471855932574E-28,4.5203839485621E-43,3.0638586708094E-12,2.6102017677249E-28,1.89756037081267E-12,0,0,0,0,0,0,package://FullSimV7/meshes/dummy_with_out_tool.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullSimV7/meshes/dummy_with_out_tool.STL,,dummy-2,Origin_dummy_1_joint2,Axis_dummy_1_joint,dummy_1_joint,fixed,0,0.0938244,0,3.14159265358979,0,3.14159265358979,link6,0,0,0,,,,,,,,,,,,
dummy_with_tool,-6.07597235231416E-14,-0.00999999999987444,1.11022302462516E-16,0,0,0,4.38757242489513E-06,1.89756037081238E-12,-5.06471855932543E-28,-2.12907918298444E-43,3.06385867080906E-12,4.76720308320444E-28,1.89756037081238E-12,0,0,0,0,0,0,package://FullSimV7/meshes/dummy_with_tool.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullSimV7/meshes/dummy_with_tool.STL,,dummy-3,Origin_dummy_2_joint2,Axis_dummy_2_joint,dummy_2_joint,fixed,0,0.106,0,3.14159265358979,0,0,dummy_with_out_tool,0,0,0,,,,,,,,,,,,
